ola;hello
bom;good
dia;day
noite;night
agua;water
comida;food
gato;cat
cachorro;dog
casa;house
amigo;friend
cidade;city
praia;beach
sol;sun
lua;moon
livro;book
escola;school
janela;window
porta;door
flor;flower
arvore;tree
cor;color
azul;blue
verde;green
vermelho;red
amarelo;yellow
numero;number
letra;letter
cama;bed
mesa;table
cadeira;chair
telefone;telephone
computador;computer
trabalho;work
jogo;game
musica;music
filme;movie
tempo;time
relogio;clock
ano;year
mes;month
semana;week
hoje;today
ontem;yesterday
amanha;tomorrow
manha;morning
tarde;afternoon
noite;evening
beleza;beauty
feliz;happy
triste;sad
pequeno;small
grande;big
alto;tall
baixo;short
rapido;fast
devagar;slow
novo;new
velho;old
barato;cheap
caro;expensive
facil;easy
dificil;difficult
bonito;beautiful
feio;ugly
limpo;clean
sujo;dirty
lugar;place
rua;street
mercado;market
restaurante;restaurant
hospital;hospital
parque;park
comprar;buy
vender;sell
comer;eat
beber;drink
nadar;swim
correr;run
dormir;sleep
acordar;wake up
ler;read
escrever;write
ouvir;listen
ver;see
falar;speak
entender;understand
aprender;learn
ensinar;teach
trabalhar;work
estudar;study
viajar;travel
conhecer;meet
amar;love
odiar;hate
sorrir;smile
chorar;cry
ganhar;win
perder;lose
chegar;arrive
partir;break
